"","scen","range","pct","area.pct","Pothole"
"465","Drain3NT","two",0.96,0.2,"Walnut"
"466","Drain3Retired","two",0.88,0.2,"Walnut"
"467","Drain3RetiredAll","two",0.68,0.2,"Walnut"
"468","Drain3RetiredCT","two",0.92,0.2,"Walnut"
"469","Drain3RetiredNT","two",0.92,0.2,"Walnut"
"470","NoTillRetired","two",0.96,0.2,"Walnut"
"471","PlantDate01","two",0.96,0.2,"Walnut"
"472","PlantDate02","two",0.96,0.2,"Walnut"
"473","PlantDate03","two",0.96,0.2,"Walnut"
"474","PlantDate04","two",0.96,0.2,"Walnut"
"475","RetiredAll","two",0.88,0.2,"Walnut"
"476","RetiredPothole","two",1,0.2,"Walnut"
"477","Base","three",0.92,0.3,"Walnut"
"478","ConTillDrain01","three",0.88,0.3,"Walnut"
"479","ConTillDrain02","three",0.84,0.3,"Walnut"
"480","ConTillDrain03","three",0.84,0.3,"Walnut"
"481","ConTillRetired","three",0.92,0.3,"Walnut"
"482","CoverCrop","three",0.8,0.3,"Walnut"
"483","Drain0","three",0.96,0.3,"Walnut"
"484","Drain01","three",0.92,0.3,"Walnut"
"485","Drain02","three",0.92,0.3,"Walnut"
"486","Drain03","three",0.8,0.3,"Walnut"
"487","Drain0CT","three",0.92,0.3,"Walnut"
"488","Drain0NT","three",0.96,0.3,"Walnut"
"489","Drain1NT","three",0.92,0.3,"Walnut"
"490","Drain1Retired","three",0.88,0.3,"Walnut"
"491","Drain1RetiredAll","three",0.6,0.3,"Walnut"
"492","Drain1RetiredCT","three",0.88,0.3,"Walnut"
"493","Drain1RetiredNT","three",0.84,0.3,"Walnut"
"494","Drain2NT","three",0.8,0.3,"Walnut"
"495","Drain2Retired","three",0.88,0.3,"Walnut"
"496","Drain2RetiredAll","three",0.6,0.3,"Walnut"
"497","Drain2RetiredCT","three",0.84,0.3,"Walnut"
"498","Drain2RetiredNT","three",0.76,0.3,"Walnut"
"499","Drain3NT","three",0.72,0.3,"Walnut"
"500","Drain3Retired","three",0.84,0.3,"Walnut"
"501","Drain3RetiredAll","three",0.48,0.3,"Walnut"
"502","Drain3RetiredCT","three",0.76,0.3,"Walnut"
